study,year,location,state,cultivar,data_sowing,brand_name,group,active_ingredient,n,mean_sev,mean_inc,mean_yld,mean_index,v_sev,v_inc,v_yld,v_index,yld_check,v_yld_check,sev_check,v_sev_check,inc_check,v_inc_check,index_check,v_index_check,region
29,2017,Campo Verde,MT,BRS 404,22/03/2017,check,check,AACHECK,4,41.25,NA,632.75,NA,16.18611111111111,NA,7873.741666666664,NA,632.75,7873.741666666664,41.25,16.18611111111111,NA,NA,NA,NA,North
29,2017,Campo Verde,MT,BRS 404,22/03/2017,Fox,QoI+DMI,TFLX+PROT,4,29.5,NA,634.5,NA,16.18611111111111,NA,7873.741666666664,NA,632.75,7873.741666666664,41.25,16.18611111111111,NA,NA,NA,NA,North
29,2017,Campo Verde,MT,BRS 404,22/03/2017,Nativo,QoI+DMI,TFLX+TEBU,4,33.75,NA,535.5,NA,16.18611111111111,NA,7873.741666666664,NA,632.75,7873.741666666664,41.25,16.18611111111111,NA,NA,NA,NA,North
30,2017,Campo Verde,MT,BRS 404,22/03/2017,check,check,AACHECK,4,40.5,NA,862.5,NA,37.97222222222222,NA,25240.951388888894,NA,862.5,25240.951388888894,40.5,37.97222222222222,NA,NA,NA,NA,North
30,2017,Campo Verde,MT,BRS 404,22/03/2017,Fox,QoI+DMI,TFLX+PROT,4,30.5,NA,817.5,NA,37.97222222222222,NA,25240.951388888894,NA,862.5,25240.951388888894,40.5,37.97222222222222,NA,NA,NA,NA,North
30,2017,Campo Verde,MT,BRS 404,22/03/2017,Nativo,QoI+DMI,TFLX+TEBU,4,41.75,NA,936.5,NA,37.97222222222222,NA,25240.951388888894,NA,862.5,25240.951388888894,40.5,37.97222222222222,NA,NA,NA,NA,North
30,2017,Campo Verde,MT,BRS 404,22/03/2017,Opera,QoI+DMI,PYRA+EPOX,4,28.5,NA,869.75,NA,37.97222222222222,NA,25240.951388888894,NA,862.5,25240.951388888894,40.5,37.97222222222222,NA,NA,NA,NA,North
30,2017,Campo Verde,MT,BRS 404,22/03/2017,Unizeb Gold,DTC,MANC,4,31.75,NA,1068,NA,37.97222222222222,NA,25240.951388888894,NA,862.5,25240.951388888894,40.5,37.97222222222222,NA,NA,NA,NA,North
31,2017,Planaltina,DF,BRS 404,15/02/2017,check,check,AACHECK,4,5.675,7.6,1231.25,0.42932499999999996,3.0359166666666675,0.5820833333333336,31760.625000000033,0.013753963249999994,1231.25,31760.625000000033,5.675,3.0359166666666675,7.6,0.5820833333333336,0.42932499999999996,0.013753963249999994,North
31,2017,Planaltina,DF,BRS 404,15/02/2017,Fox,QoI+DMI,TFLX+PROT,4,1.8499999999999999,4.1,1033,0.08375,3.0359166666666675,0.5820833333333336,31760.625000000033,0.013753963249999994,1231.25,31760.625000000033,5.675,3.0359166666666675,7.6,0.5820833333333336,0.42932499999999996,0.013753963249999994,North
